v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,33085,0x1f9c5c6ae140,15,FunctionPrototypeBind
code-creation,Builtin,3,33191,0x1f9c5c6ae1a0,47,FunctionPrototypeCall
code-creation,Builtin,3,33287,0x1f9c5c6ae220,337,FunctionPrototypeHasInstance
code-creation,Builtin,3,33408,0x1f9c5c6ae3c0,15,FunctionPrototypeToString
code-creation,Builtin,3,33507,0x1f9c5c6ae420,243,CreateIterResultObject
code-creation,Builtin,3,33608,0x1f9c5c6ae560,876,CreateGeneratorObject
code-creation,Builtin,3,33706,0x1f9c5c6ae920,15,GeneratorFunctionConstructor
code-creation,Builtin,3,33807,0x1f9c5c6ae980,15,AsyncFunctionConstructor
code-creation,Builtin,3,33913,0x1f9c5c6ae9e0,15,GlobalDecodeURI
code-creation,Builtin,3,33993,0x1f9c5c6aea40,15,GlobalDecodeURIComponent
code-creation,Builtin,3,34089,0x1f9c5c6aeaa0,15,GlobalEncodeURI
code-creation,Builtin,3,34222,0x1f9c5c6aeb00,15,GlobalEncodeURIComponent
code-creation,Builtin,3,34363,0x1f9c5c6aeb60,15,GlobalEscape
code-creation,Builtin,3,34459,0x1f9c5c6aebc0,15,GlobalUnescape
